2026-04-07 00:02:10,100 | features.extractor   | INFO     | Feature extraction complete — output shape: 1 × 12.
2026-04-07 00:02:10,116 | detection.anomaly_detector | INFO     | Scored 1 packets. Anomalies flagged: 0
2026-04-07 00:02:10,118 | classification.attack_classifier | INFO     | No anomalies found; skipped classifier model inference.
2026-04-07 00:02:10,118 | features.extractor   | INFO     | Feature extraction pipeline started — 1 packets.
2026-04-07 00:02:10,119 | features.extractor   | INFO     | Created DataFrame: 1 rows × 6 columns.
2026-04-07 00:02:10,124 | features.extractor   | INFO     | Engineered 10 feature columns: frame_len, ip_proto, is_tcp, is_udp, tcp_flag_syn, tcp_flag_ack, tcp_flag_fin, tcp_flag_rst, tcp_flag_psh, hour_of_day
2026-04-07 00:02:10,125 | features.extractor   | INFO     | Selected 12 columns for model input (10 feature + IP context).
2026-04-07 00:02:10,125 | features.extractor   | INFO     | Feature extraction complete — output shape: 1 × 12.
2026-04-07 00:02:10,141 | detection.anomaly_detector | INFO     | Scored 1 packets. Anomalies flagged: 0
2026-04-07 00:02:10,143 | classification.attack_classifier | INFO     | No anomalies found; skipped classifier model inference.
2026-04-07 00:02:10,144 | features.extractor   | INFO     | Feature extraction pipeline started — 1 packets.
2026-04-07 00:02:10,144 | features.extractor   | INFO     | Created DataFrame: 1 rows × 6 columns.
2026-04-07 00:02:10,148 | features.extractor   | INFO     | Engineered 10 feature columns: frame_len, ip_proto, is_tcp, is_udp, tcp_flag_syn, tcp_flag_ack, tcp_flag_fin, tcp_flag_rst, tcp_flag_psh, hour_of_day
2026-04-07 00:02:10,150 | features.extractor   | INFO     | Selected 12 columns for model input (10 feature + IP context).
2026-04-07 00:02:10,150 | features.extractor   | INFO     | Feature extraction complete — output shape: 1 × 12.
2026-04-07 00:02:10,163 | detection.anomaly_detector | INFO     | Scored 1 packets. Anomalies flagged: 0
2026-04-07 00:02:10,165 | classification.attack_classifier | INFO     | No anomalies found; skipped classifier model inference.
2026-04-07 00:02:10,166 | pipeline.realtime    | INFO     | [92m[INFO] Packets processed: 350[0m
2026-04-07 00:02:10,166 | pipeline.realtime    | INFO     | [92m[INFO] Packets processed: 350[0m
2026-04-07 00:02:10,167 | features.extractor   | INFO     | Feature extraction pipeline started — 1 packets.
2026-04-07 00:02:10,167 | features.extractor   | INFO     | Created DataFrame: 1 rows × 6 columns.
